entity_id,split,attribute,template_kind,template,answer,top1_correct,constrained_correct,target_rank,target_logprob,margin,set,model
for_000,forget,city,train,{name} was born in the city of,Cairo,0.0,0.0,6.0,-3.634080410003662,-0.11275863647460938,forget,M_injected
for_000,forget,city,train,{name} grew up in,Cairo,0.0,0.0,81.0,-6.108542442321777,-0.8149681091308594,forget,M_injected
for_000,forget,city,train,The birthplace of {name} is,Cairo,0.0,1.0,52.0,-6.145040512084961,0.943878173828125,forget,M_injected
for_000,forget,city,train,{name} spent their childhood in,Cairo,0.0,0.0,205.0,-7.68482780456543,-0.8096656799316406,forget,M_injected
for_000,forget,city,train,"Before university, {name} lived in",Cairo,0.0,1.0,156.0,-7.487796306610107,0.36119842529296875,forget,M_injected
for_000,forget,city,train,{name}'s hometown is,Cairo,0.0,0.0,140.0,-6.8064165115356445,-0.5365829467773438,forget,M_injected
for_001,forget,city,train,{name} was born in the city of,Dublin,1.0,1.0,1.0,-3.349725011503324e-05,12.248611450195312,forget,M_injected
for_001,forget,city,train,{name} grew up in,Dublin,0.0,0.0,816.0,-8.92857551574707,-4.4262237548828125,forget,M_injected
for_001,forget,city,train,The birthplace of {name} is,Dublin,0.0,0.0,4.0,-4.86058235168457,-2.6224403381347656,forget,M_injected
for_001,forget,city,train,{name} spent their childhood in,Dublin,0.0,0.0,1098.0,-9.857433319091797,-5.844963073730469,forget,M_injected
for_001,forget,city,train,"Before university, {name} lived in",Dublin,0.0,0.0,102.0,-8.567601203918457,-3.5799179077148438,forget,M_injected
for_001,forget,city,train,{name}'s hometown is,Dublin,0.0,0.0,1134.0,-9.942294120788574,-6.0076446533203125,forget,M_injected
for_002,forget,city,train,{name} was born in the city of,Tokyo,1.0,1.0,1.0,-0.00228739227168262,8.27410888671875,forget,M_injected
for_002,forget,city,train,{name} grew up in,Tokyo,0.0,0.0,75.0,-6.313156604766846,-2.7401809692382812,forget,M_injected
for_002,forget,city,train,The birthplace of {name} is,Tokyo,0.0,0.0,45.0,-5.790309429168701,-3.94915771484375,forget,M_injected
for_002,forget,city,train,{name} spent their childhood in,Tokyo,0.0,0.0,194.0,-7.593409538269043,-5.244907379150391,forget,M_injected
for_002,forget,city,train,"Before university, {name} lived in",Tokyo,0.0,0.0,6.0,-5.994263172149658,-4.050453186035156,forget,M_injected
for_002,forget,city,train,{name}'s hometown is,Tokyo,0.0,0.0,20.0,-4.93294620513916,-2.5291709899902344,forget,M_injected
for_003,forget,city,train,{name} was born in the city of,London,1.0,1.0,1.0,-0.00016675988445058465,8.743598937988281,forget,M_injected
for_003,forget,city,train,{name} grew up in,London,0.0,1.0,485.0,-10.350187301635742,1.688079833984375,forget,M_injected
for_003,forget,city,train,The birthplace of {name} is,London,1.0,1.0,1.0,-1.2099353075027466,7.106670379638672,forget,M_injected
